Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Dec-23,EQ,732.9,734.75,728.1,732.4,730.15,730.8,731.89,734.75,375.2,"54,50,397","3,98,90,96,171.75","1,83,288"
19-Dec-23,EQ,732.6,732.6,726,730.8,730,728.95,729.07,734.75,375.2,"45,11,101","3,28,89,05,953.10","1,53,400"
20-Dec-23,EQ,730.95,733,703.05,728.95,705.95,705.25,717.08,734.75,375.2,"81,07,602","5,81,38,26,453.40","2,08,549"
21-Dec-23,EQ,703,711.9,696.25,705.25,710,708.85,707.01,734.75,375.2,"77,02,232","5,44,55,51,052.70","2,08,027"
22-Dec-23,EQ,716.8,731,712,708.85,725,724.7,724.5,734.75,375.2,"1,20,62,238","8,73,91,00,445.30","2,88,650"
26-Dec-23,EQ,727.4,727.5,716.6,724.7,720,719.55,721.73,734.75,375.2,"72,29,143","5,21,75,10,087.80","1,95,383"
27-Dec-23,EQ,728,741.85,725.15,719.55,740.3,740.9,735.95,741.85,375.2,"1,50,52,800","11,07,81,42,060.15","2,88,698"
28-Dec-23,EQ,742.65,757.95,739.05,740.9,754.85,753.9,748.29,757.95,375.2,"1,49,06,199","11,15,42,32,289.65","2,43,381"
29-Dec-23,EQ,755,802.9,754,753.9,779.4,779.95,785.47,802.9,375.2,"4,11,70,191","32,33,78,28,533.80","5,93,211"
1-Jan-24,EQ,785,798.7,781.05,779.95,792,790.6,791.96,802.9,381,"1,25,70,717","9,95,54,54,953.90","2,80,616"
2-Jan-24,EQ,800.5,804,779,790.6,786,784.4,787.89,804,381,"1,37,91,090","10,86,58,94,988.45","2,92,570"
3-Jan-24,EQ,786.05,790,776.25,784.4,782.6,781.45,782.06,804,381,"85,59,060","6,69,37,35,336.40","2,35,425"
4-Jan-24,EQ,798,801.8,791.3,781.45,795.7,795.75,796.06,804,381,"1,42,98,444","11,38,24,14,604.35","3,11,507"
5-Jan-24,EQ,799,805.9,787.1,795.75,792,790.95,795.04,805.9,381,"1,10,91,198","8,81,79,15,485.35","2,67,335"
8-Jan-24,EQ,798.4,800.35,787.5,790.95,789.85,789.1,793.09,805.9,385,"76,68,471","6,08,17,79,068.55","2,26,261"
9-Jan-24,EQ,799.95,809.2,793.15,789.1,801,799.8,802.08,809.2,385,"1,28,72,757","10,32,49,52,552.85","2,64,264"
10-Jan-24,EQ,800,811,792.65,799.8,808.95,808.45,803.37,811,385,"99,80,044","8,01,77,07,344.25","1,82,023"
11-Jan-24,EQ,813.5,817.5,808.45,808.45,815.25,815.65,813.62,817.5,385,"1,10,75,167","9,01,09,80,254.80","2,66,604"
12-Jan-24,EQ,818.15,818.55,809.15,815.65,817.45,816.45,815.16,818.55,385,"76,64,094","6,24,74,47,301.25","1,53,071"
15-Jan-24,EQ,820,820.4,810.3,816.45,813.2,812.45,814.14,820.4,400.1,"48,35,856","3,93,70,66,936.90","1,97,513"
16-Jan-24,EQ,812.45,827,812.45,812.45,817.65,818.85,821.11,827,400.1,"1,01,59,066","8,34,16,81,993.50","2,21,497"
17-Jan-24,EQ,811,813.7,804,818.85,807.5,805.55,808.24,827,400.1,"78,95,439","6,38,13,88,279.55","2,16,248"
18-Jan-24,EQ,807,822.95,797,805.55,819.6,819.05,812.7,827,400.1,"1,15,00,495","9,34,64,47,986.25","2,80,473"
19-Jan-24,EQ,823.85,826,819.5,819.05,824,823.55,822.98,827,400.1,"57,06,888","4,69,66,52,130.95","1,56,090"
20-Jan-24,EQ,826,827,817.05,823.55,819.95,818.9,821.45,827,400.1,"28,37,388","2,33,07,75,194.85","76,427"
23-Jan-24,EQ,824.9,827.6,796.3,818.9,802.55,800.45,810.46,827.6,400.45,"94,36,209","7,64,76,62,373.75","2,24,944"
24-Jan-24,EQ,802.4,812,788.5,800.45,811.65,810.9,803.01,827.6,400.45,"72,17,542","5,79,57,67,502.25","1,83,775"
25-Jan-24,EQ,814,814.15,800.3,810.9,810.55,811.85,809.73,827.6,400.45,"1,01,09,720","8,18,61,65,890.10","1,82,572"
29-Jan-24,EQ,811.85,843.8,811.05,811.85,840.55,841,830.88,843.8,400.45,"1,28,23,686","10,65,49,91,884.60","2,50,441"
30-Jan-24,EQ,843,885.95,842.85,841,864.9,858.85,863.55,885.95,400.45,"1,97,34,613","17,04,18,84,369.10","3,49,849"
31-Jan-24,EQ,865.2,896.5,865.2,858.85,884.8,884.2,882.17,896.5,400.45,"2,45,62,392","21,66,81,38,577.05","4,08,702"
1-Feb-24,EQ,900,900.15,876.3,884.2,880,878.5,886.7,900.15,400.45,"1,45,05,885","12,86,23,06,257.75","2,90,615"
2-Feb-24,EQ,886,895.75,876.85,878.5,882.8,878.75,886.37,900.15,400.45,"1,30,03,437","11,52,58,98,374.50","3,17,653"
5-Feb-24,EQ,934,950,915.35,878.75,929.75,926.8,934.93,950,400.45,"3,86,86,871","36,16,96,70,768.70","6,47,208"
6-Feb-24,EQ,936.4,941.3,928.4,926.8,939.7,939.55,937.35,950,400.45,"1,27,14,803","11,91,82,59,367.80","3,26,341"
7-Feb-24,EQ,944,944,928.05,939.55,935,933.8,935.53,950,400.45,"79,13,010","7,40,28,35,642.10","2,86,625"
8-Feb-24,EQ,937,939.7,918.8,933.8,925,924.3,926.75,950,400.45,"1,15,76,253","10,72,83,17,488.90","3,05,476"
9-Feb-24,EQ,926,927.4,906.05,924.3,915.7,915,914.6,950,400.45,"79,04,881","7,22,98,33,132.70","2,70,899"
12-Feb-24,EQ,916.1,925,908,915,912,911.6,915.51,950,400.45,"72,86,778","6,67,11,36,318.90","2,08,068"
